country_name,region_code,indicator_name,year,current_value,previous_year_value,net_change
Algeria,MEA,Female Labor Force Participation (%),2023,14.34,14.33,0.01
Algeria,MEA,Female Labor Force Participation (%),2022,14.33,13.43,0.9
Algeria,MEA,Female Labor Force Participation (%),2021,13.43,13.21,0.23
Algeria,MEA,Female Labor Force Participation (%),2020,13.21,14.68,-1.47
Algeria,MEA,Female Labor Force Participation (%),2019,14.68,14.8,-0.12
Algeria,MEA,Female Labor Force Participation (%),2018,14.8,14.92,-0.12
Algeria,MEA,Female Labor Force Participation (%),2017,14.92,15.03,-0.11
Algeria,MEA,Female Labor Force Participation (%),2016,15.03,15.26,-0.23
Algeria,MEA,Female Labor Force Participation (%),2015,15.26,15.26,0.0
Algeria,MEA,Female Labor Force Participation (%),2014,15.26,15.04,0.22
Algeria,MEA,Female Labor Force Participation (%),2013,15.04,,
Algeria,MEA,GDP per Capita Growth (%),2023,2.55,1.97,0.58
Algeria,MEA,GDP per Capita Growth (%),2022,1.97,2.13,-0.16
Algeria,MEA,GDP per Capita Growth (%),2021,2.13,-6.61,8.75
Algeria,MEA,GDP per Capita Growth (%),2020,-6.61,-0.94,-5.67
Algeria,MEA,GDP per Capita Growth (%),2019,-0.94,-0.55,-0.39
Algeria,MEA,GDP per Capita Growth (%),2018,-0.55,-0.54,0.0
Algeria,MEA,GDP per Capita Growth (%),2017,-0.54,1.79,-2.33
Algeria,MEA,GDP per Capita Growth (%),2016,1.79,1.1,0.69
Algeria,MEA,GDP per Capita Growth (%),2015,1.1,2.0,-0.9
Algeria,MEA,GDP per Capita Growth (%),2014,2.0,0.55,1.45
Algeria,MEA,GDP per Capita Growth (%),2013,0.55,,
Algeria,MEA,Internet Penetration (%),2023,76.91,74.83,2.08
Algeria,MEA,Internet Penetration (%),2022,74.83,72.21,2.62
Algeria,MEA,Internet Penetration (%),2021,72.21,63.47,8.74
Algeria,MEA,Internet Penetration (%),2020,63.47,55.79,7.68
Algeria,MEA,Internet Penetration (%),2019,55.79,49.04,6.75
Algeria,MEA,Internet Penetration (%),2018,49.04,47.69,1.35
Algeria,MEA,Internet Penetration (%),2017,47.69,42.95,4.75
Algeria,MEA,Internet Penetration (%),2016,42.95,38.2,4.75
Algeria,MEA,Internet Penetration (%),2015,38.2,29.5,8.7
Algeria,MEA,Internet Penetration (%),2014,29.5,22.5,7.0
Algeria,MEA,Internet Penetration (%),2013,22.5,,
Bahrain,MEA,Female Labor Force Participation (%),2023,42.38,42.2,0.18
Bahrain,MEA,Female Labor Force Participation (%),2022,42.2,41.2,1.01
Bahrain,MEA,Female Labor Force Participation (%),2021,41.2,41.05,0.15
Bahrain,MEA,Female Labor Force Participation (%),2020,41.05,42.52,-1.47
Bahrain,MEA,Female Labor Force Participation (%),2019,42.52,43.21,-0.69
Bahrain,MEA,Female Labor Force Participation (%),2018,43.21,43.58,-0.37
Bahrain,MEA,Female Labor Force Participation (%),2017,43.58,43.54,0.04
Bahrain,MEA,Female Labor Force Participation (%),2016,43.54,43.37,0.17
Bahrain,MEA,Female Labor Force Participation (%),2015,43.37,43.09,0.27
Bahrain,MEA,Female Labor Force Participation (%),2014,43.09,42.95,0.14
Bahrain,MEA,Female Labor Force Participation (%),2013,42.95,,
Bahrain,MEA,GDP per Capita Growth (%),2023,0.43,4.76,-4.34
Bahrain,MEA,GDP per Capita Growth (%),2022,4.76,2.12,2.65
Bahrain,MEA,GDP per Capita Growth (%),2021,2.12,-5.17,7.29
Bahrain,MEA,GDP per Capita Growth (%),2020,-5.17,3.38,-8.56
Bahrain,MEA,GDP per Capita Growth (%),2019,3.38,1.92,1.46
Bahrain,MEA,GDP per Capita Growth (%),2018,1.92,-0.46,2.38
Bahrain,MEA,GDP per Capita Growth (%),2017,-0.46,-0.08,-0.38
Bahrain,MEA,GDP per Capita Growth (%),2016,-0.08,-1.66,1.58
Bahrain,MEA,GDP per Capita Growth (%),2015,-1.66,-0.56,-1.1
Bahrain,MEA,GDP per Capita Growth (%),2014,-0.56,1.58,-2.14
Bahrain,MEA,GDP per Capita Growth (%),2013,1.58,,
Bahrain,MEA,Internet Penetration (%),2023,100.0,100.0,0.0
Bahrain,MEA,Internet Penetration (%),2022,100.0,100.0,0.0
Bahrain,MEA,Internet Penetration (%),2021,100.0,99.67,0.33
Bahrain,MEA,Internet Penetration (%),2020,99.67,99.7,-0.03
Bahrain,MEA,Internet Penetration (%),2019,99.7,98.64,1.06
Bahrain,MEA,Internet Penetration (%),2018,98.64,95.88,2.77
Bahrain,MEA,Internet Penetration (%),2017,95.88,98.0,-2.12
Bahrain,MEA,Internet Penetration (%),2016,98.0,93.48,4.52
Bahrain,MEA,Internet Penetration (%),2015,93.48,90.5,2.98
Bahrain,MEA,Internet Penetration (%),2014,90.5,90.0,0.5
Bahrain,MEA,Internet Penetration (%),2013,90.0,,
Comoros,SSF,Female Labor Force Participation (%),2023,47.06,47.03,0.02
Comoros,SSF,Female Labor Force Participation (%),2022,47.03,47.07,-0.04
Comoros,SSF,Female Labor Force Participation (%),2021,47.07,44.89,2.18
Comoros,SSF,Female Labor Force Participation (%),2020,44.89,43.32,1.57
Comoros,SSF,Female Labor Force Participation (%),2019,43.32,41.15,2.17
Comoros,SSF,Female Labor Force Participation (%),2018,41.15,38.97,2.17
Comoros,SSF,Female Labor Force Participation (%),2017,38.97,36.84,2.13
Comoros,SSF,Female Labor Force Participation (%),2016,36.84,34.78,2.07
Comoros,SSF,Female Labor Force Participation (%),2015,34.78,32.73,2.05
Comoros,SSF,Female Labor Force Participation (%),2014,32.73,32.71,0.02
Comoros,SSF,Female Labor Force Participation (%),2013,32.71,,
Comoros,SSF,GDP per Capita Growth (%),2023,1.03,0.63,0.4
Comoros,SSF,GDP per Capita Growth (%),2022,0.63,0.0,0.63
Comoros,SSF,GDP per Capita Growth (%),2021,0.0,-2.13,2.14
Comoros,SSF,GDP per Capita Growth (%),2020,-2.13,-0.18,-1.96
Comoros,SSF,GDP per Capita Growth (%),2019,-0.18,1.64,-1.82
Comoros,SSF,GDP per Capita Growth (%),2018,1.64,1.77,-0.13
Comoros,SSF,GDP per Capita Growth (%),2017,1.77,1.22,0.54
Comoros,SSF,GDP per Capita Growth (%),2016,1.22,-0.97,2.19
